1,to ,Position/Studiengang,Year Start,Year End,Year Total,Current,Management,Relation,Region
66,67,Executive Assistant,2003,2005,2,1,1,1,Stuttgart
66,67,Team Manager,2000,2003,3,1,1,1,Ulm
66,67,Trainee,1998,2000,2,1,1,1,Stuttgart
66,68,Promotion ,1996,1999,3,1,1,2,Ulm
66,69,Materialforschung,1991,1996,5,1,1,2,Berlin
70,5,Chief Financial Officer,2024,2025,0,2,2,1,
71,70,Unternehmenszugehörigkeit,,,,,,,
70,71,Chief Financial Officer,2024,2025,0,2,2,1,
70,5,Head of Corporate Finance,2023,2024,1,1,1,1,
70,72,Vize-Präsident ,2023,2023,0,1,1,1,
70,73,Head of Accounting,2020,2022,2,1,1,1,
70,74,Head of Accounting,2017,2020,2,1,1,1,
70,75,Head of Corporate Internal Audit,2016,2017,1,1,1,1,
70,76,Senior Manager ,1996,2016,20,1,1,1,NA
70,77,Volkswirtschaft ,NA,NA,NA,1,1,2,Freiburg-SUI
78,65,Chief Operating Officer,2025,2025,0,2,2,1,Augsburg
78,79,Chief Executive Officer,2019,2024,4,1,2,1,"Stuttgart, Graz"
78,80,Chief Operating Officer,2015,2019,4,1,2,1,Affalterbach
78,67,Director,2010,2015,6,1,1,1,Sindelfingen
78,81,Chief Executive Officer,2006,2007,1,1,2,1,Kaufering
78,67,Senior Manager,2000,2006,6,1,1,1,Sindelfingen
78,67,Manager,1998,2000,3,1,1,1,Sindelfingen
78,45,Promotion,1993,1998,6,1,1,2,Karlsruhe
78,45,Wirtschaftsingenieurwesen,1989,1993,4,1,1,2,Karlsruhe
82,83,Managing Partner,2007,2025,18,2,1,1,Frankfurt am Main
82,84,Investment Professional,2004,2007,3,1,1,1,London-UK
82,85,Analyst,2001,2004,3,1,1,1,London-UK
82,86,Business Administration,1997,1999,2,1,1,2,Reutlingen
82,87,Business Administration,1999,2001,2,1,1,2,Dublin-IRE
82,65,Aufsichtsrat,2023,2025,2,2,1,1,Augsburg
89,65,Unternehmenszugehörigkeit,,,,,,,
88,71,Ausbildung,1981,1985,4,1,1,1,
88,71,Operator,1985,2014,19,1,1,1,
88,71,Stellvertretender Vorsitzender des Betriebsrats,2014,2018,4,1,1,1,
88,71,Vorsitzender des Betriebsrats,2018,2025,7,2,1,1,
88,71,Mitglied des Betriebsrats,1998,2014,16,1,1,1,
89,90,Wirtschafts- und Arbeitsrecht,2002,2006,4,1,1,2,Hamburg
89,59,Ausbildung,1994,1998,4,1,1,1,Hannover
89,59,Industriemechaniker,1998,1999,1,1,1,1,Hannover
89,59,Industriemechaniker,2000,2002,2,1,1,1,Hannover
89,91,Trainee,2006,2007,1,1,1,1,Frankfurt
89,91,Gewerkschaftssekretär,2007,2016,9,1,1,1,Hannover
89,91,Kassierer,2016,2017,1,1,1,1,Hannover
89,91,Zweiter Bevollmächtigter,2017,2023,6,1,1,1,Hannover
89,91,Erster Bevöllmächtigter,2023,2025,2,2,1,1,Hannover
88,65,Aufsichtsrat,2023,2025,2,2,1,1,Augsburg
89,65,Aufsichtsrat,2023,2025,2,2,1,1,Augsburg
92,65,Aufsichtsrat,2023,2025,2,2,1,1,Augsburg
92,71,Ausbildung,1985,1988,3,1,1,1,Augsburg
92,91,Weiterbildung,1997,2024,NA,1,1,1,NA
92,71,Zerspanungsmechaniker,1988,2017,29,1,1,1,Rheine
92,71,Betriebsratvorsitzender,2017,2025,7,2,1,1,Rheine
92,71,Vorsitzender Wirtschaftsausschuss,2022,2025,3,2,1,1,Rheine
93,94,Elektrotechnik,1996,1999,3,1,1,2,Stuttgart
93,65,Aufsichtsrat,2024,2025,1,2,1,1,Augsburg
93,79,Positionen in Qualität und Einkauf,1999,2008,9,1,1,1,Stuttgart
93,79,Leitung in versch. Positionen,2008,2023,15,1,1,1,"Stuttgart, Peking,Sindelfingen"
93,95,Chief Operating Officer,2023,2025,2,2,2,1,München
96,97,Business Administration,NA,2001,NA,1,1,2,Augsburg
96,98,"Accountant, Leitung",2002,2008,6,1,1,1,"München,Augsburg"
96,71,Chief Accountant,2008,2013,5,1,1,1,Augsburg
96,71,"Qualitätsmanager, versch. Führungspos. ",2013,2023,10,2,1,1,Augsburg
96,65,Aufsichtsrat,2023,2025,2,2,1,1,Augsburg
99,65,Aufsichtsrat,2023,2025,2,2,1,1,Augsburg
99,94,Betriebswirtschaftslehre,2006,2009,3,1,1,2,"Stuttgart,London-UK"
99,100,Chartered Financial Analyst,2013,2015,2,1,1,2,Charlottesville-USA
99,101,Controller,2009,2010,1,1,1,1,Heidenheim
99,64,Senior Associate,2011,2013,2,1,1,1,"Stuttgart,Frankfurt"
99,102,Board Member,2022,2023,2,1,1,1,Heidenheim
99,83,Investment Advisory Professional ,2014,2025,11,2,1,1,Frankfurt am Main
103,104,Betriebswirtschaftslehre,1991,1996,5,1,1,2,Dresden
103,105,Program for Executive Development,2001,2001,1,1,1,2,Lausanne-SUI
103,106,Senior Consultant,1996,1999,3,1,1,1,München
103,65,Aufsichtsrat,2024,2025,1,2,1,1,Augsburg
103,107,Senior Associate,1999,2002,3,1,1,1,München
103,108,Partner,2002,2012,10,1,1,1,Hamburg
103,109,Board Member,2008,2013,5,1,1,1,Regensburg
103,110,Advisor,2013,2014,1,1,1,1,Haag-SUI
103,103,Senior Advisor,2015,2023,8,1,1,1,Hamburg
103,111,"Aufsichtsrat, Committee Member",2015,2023,8,1,1,1,Jena
103,112,Aufsichtsrat,2017,2023,6,1,1,1,Hamburg
103,113,Aufsichtsrat,2018,2023,5,1,1,1,
103,114,Aufsichtsrat,2020,2023,3,1,1,1,Essen
103,115,Geschäftsführerin ,2023,2024,1,1,1,1,SUI
116,117,Ausbildung,2000,2002,2,1,1,1,Ingolstadt
116,118,NA,2007,2008,1,1,1,2,Frankfurt am Main
116,91,Trainee,2008,2009,1,1,1,1,NA
116,117,Logistikfachkraft,2002,2007,5,1,1,1,Ingolstadt
116,65,Aufsichtsrat,2024,2025,1,1,1,1,Augsburg
116,91,Bildungsreferentin,2009,2015,6,1,1,1,Beverungen
116,91,Gewerkschaftsreferentin,2015,2017,2,1,1,1,NA
116,91,Leitung,2017,2024,7,1,1,1,Beverungen
116,91,"Zweiter Bevollmächtigter, Geschäftsführer",2024,2025,1,2,1,1,Augsburg
119,120,Produktionstechnik,2001,2004,3,1,1,2,NA
119,121,Arbeitsvorbereiter,2004,2013,8,1,1,1,Plauen
119,65,Aufsichtsrat,2023,2025,2,2,1,1,Augsburg
119,71,"Prozessplaner, Leitung",2013,2025,12,2,1,1,Augsburg
122,65,Aufsichtsrat,2024,2025,1,2,1,1,Augsburg
122,97,Betriebswirtschaftslehre,1989,1994,5,1,1,2,Augsburg
122,123,Business Administration,1992,1993,1,1,1,2,Dayton-USA
122,59,Trainee,1995,1996,2,1,1,1,Wolfsburg
122,59,Leitung und div. Pos.,1996,2006,11,1,1,1,Wolfsburg
124,59,Unternehmenszugehörigkeit,,,,,,,
122,124,Vorsitzende der Geschäftsführung,2007,2010,4,1,1,1,Wolfsburg
122,125,Geschäftsführer,2010,2014,3,1,1,1,Zwickau
125,59,Unternehmenszugehörigkeit,,,,,,,
122,126,Chief Financial Officer,2014,2018,4,1,2,1,Dornbirn-AUS
122,127,Aufsichtsrat,2016,2019,3,1,1,1,Schramberg
122,128,Aufsichtsrat,2014,2020,6,1,1,1,Berlin
122,129,Chief Financial Officer,2019,2021,2,1,2,1,Düsseldorf
122,130,Verwaltungsrat,2020,2022,2,1,1,1,Luzern-SUI
122,58,Aufsichtsrat,2022,2023,1,1,1,1,Nürnberg
122,122,Board Advisor,2021,2025,4,2,1,1,NA
122,131,"Aufsichtsrat, Senior Advisor",2022,2025,3,2,1,1,Jenbach-AUS
122,132,Verwaltungsrat,2022,2025,2,2,1,1,Zürich-SUI
133,65,Aufsichtsrat,2023,2025,2,2,1,1,Augsburg
133,134,"Wirtschaftswissenschaften, Elektrotechnik",1980,1986,6,1,1,2,Darmstadt
133,135,Assistant,1986,1987,1,1,1,1,Darmstadt
133,136,"Manager, Director, Head of",1986,2001,15,1,1,1,"Essen, Ennigerloh, Rheinhausen, Johannesburg-ZAF"
133,137,Chief Executive Officer,2001,2006,4,1,2,1,Radolfzell
121,138,Unternehmenszugehörigkeit,,,,,,,
133,138,Vorstand,2007,2011,4,1,1,1,München
133,139,Chief Executive Officer,2012,2015,4,1,2,1,Winterthur-SUI
133,140,Beiratsvorsitzender,2018,2020,2,1,1,1,Herne
133,141,Director,2020,2025,5,1,1,1,London-UK
142,5,Aufsichtsrat,2016,2025,9,2,1,1,Düsseldorf
142,143,Betriebswirtschaftslehre,1982,1987,5,1,1,2,Münster
142,106,Wirtschaftsprüfer,1989,1993,4,1,1,1,Düsseldorf
142,5,Manager,1993,2001,8,1,1,1,Düsseldorf
142,144,Präsident,2013,2016,4,1,1,1,Berlin
142,145,Mitgliedergruppenvertreter,2012,2025,13,2,1,1,Hannover
142,146,Beiratsmitglied,2015,2025,10,2,1,1,Frankfurt am Main
142,147,Member of the European Board of Adivsors,2017,2025,8,2,1,1,London-UK
142,148,Aufsichtsrat,2019,2025,6,2,1,1,Essen
142,149,Vorsitzender der Geschäftsführung,2018,2015,7,2,2,1,Datteln
142,150,Vorstand,2001,2025,24,2,2,1,Duisburg
151,5,Aufsichtsrat,2017,2025,8,2,1,1,Düsseldorf
151,45,Maschinenbau,1975,1981,6,1,1,2,Karlsruhe
151,45,Promotion,1981,1985,4,1,1,2,Karlsruhe
151,152,Trainee,1985,1987,2,1,1,1,München
151,152,"Qualitätsmanager, Führungspos. ",1987,1999,12,1,1,1,München
151,152,versch. Leitungspos.,2000,2006,6,1,1,1,München
151,153,Vorstand,2006,2016,10,1,2,1,München
153,152,Unternehmenszugehörigkeit,,,,,,,
154,3,Executive Vice President,1990,2025,35,2,2,1,Kongsberg
155,3,Executive Vice President,2007,2025,18,2,2,1,Kongsberg
155,156,NA,1999,2001,2,1,1,2,NA
157,3,Executive Vice President,2013,2025,12,2,2,1,Kongsberg
158,5,Aufsichtsrat,2024,2025,1,2,1,1,Düsseldorf
158,160,Business Administration,NA,1996,NA,1,1,2,Trier
158,161,"Manager, Senior Manager",1996,2002,6,1,1,1,Ludwigshafen
157,159,Chief Financial Officer,2010,2013,5,1,1,1,Mandal
158,161,Director,2002,2003,1,1,1,1,Ludwigshafen
158,161,"Vice President, Senior Vice President",2004,2009,5,1,1,1,Ludwigshafen
158,161,President,2009,2017,8,1,2,1,Ludwigshafen
158,161,Vorstand,2017,2023,6,1,2,1,Ludwigshafen
158,162,Chief Executive Officer,2024,2025,1,2,2,1,Kremsmünster-AUS
158,163,Board Member,2023,2025,2,2,1,1,NA
157,43,Finance,2000,2004,4,1,1,2,Bergen-NOR
164,5,Aufsichtsrat,2002,2025,23,2,1,1,Düsseldorf
165,3,Executive Vice President,1998,2025,27,2,2,1,Kongsberg
164,166,Ausbildung,1977,1979,3,1,1,1,Bremen
164,134,Wirtschaftsingenieurwesen,1979,1983,4,1,1,2,Darmstadt
164,134,Promotion,1983,1985,2,1,1,2,Darmstadt
164,167,NA,1986,1988,2,1,1,1,Hamburg
164,167,"Vorstandsasstistent, Leitung",1988,1993,2,1,1,1,Frankfurt am Main
164,168,Generalbevollmächtigter,1993,2000,7,1,1,1,München
164,167,"Leiter, Vorstand",2000,2009,9,1,2,1,Frankfurt am Main
164,169,Professor,2008,2025,17,2,1,1,München
170,171,Wirtschaftswissenschaften  ,NA,NA,NA,1,1,2,Bochum
170,171,Promotion,NA,NA,NA,1,1,2,Bochum
170,172,NA,1993,1994,1,1,1,1,NA
170,106,NA,1994,1998,4,1,1,1,München
170,76,NA,1998,2003,5,1,1,1,NA
170,5,Leiter  ,2003,2007,4,1,1,1,Düsseldorf
170,171,Professor ,2007,2025,18,2,1,1,Bochum
170,173,Wirtschaftsprüfer,2009,2025,16,2,1,1,Berlin
174,175,Business Administration,NA,1995,NA,1,1,2,Freiburg
174,176,Business Administration,1995,1999,4,1,1,2,Lund-SWE
174,64,Executive,1999,2003,4,1,1,1,München
174,177,Manager,2003,2005,2,1,1,1,München
174,178,Manager,2005,2007,2,1,1,1,München
174,138,Senior Manager,2007,2008,1,1,1,1,München
174,179,Chief Financial Officer,2008,2015,7,1,2,1,"München, Moskau-RUS"
179,138,Unternehmenszugehörigkeit,,,,,,,
174,180,Senior Manager,2016,2016,1,1,1,1,Pratteln-SUI
174,181,Head of,2016,2019,3,1,1,1,Duisburg
174,182,Chief Financial Officer,2020,2022,2,1,2,1,Friedrichshafen
174,183,Advisory Board Member,2021,2022,1,1,1,1,Berlin
174,5,Aufsichtsrat,2022,2025,3,2,1,1,Düsseldorf
174,184,Chief Financial Officer,2023,2025,2,2,2,1,München
185,186,Rechtswissenschaften,1991,1999,8,1,1,2,"Köln, Düsseldorf"
185,187,Aufsichtsrat,2017,2019,2,1,1,1,Hamburg
185,188,Aufsichtsrat,2016,2019,3,1,1,1,Essen
185,189,Aufsichtsrat,2007,2025,18,2,1,1,Düsseldorf
185,190,Vorstand,2011,2025,14,2,2,1,Köln
185,5,Aufsichtsrat,2024,2025,1,2,1,1,Düsseldorf
185,191,Aufsichtsrat,2012,2025,13,2,1,1,Büdelsdorf
185,192,Geschäftsführer,2012,2025,13,2,2,1,Düsseldorf
193,194,Elektrotechnik,NA,1978,NA,1,1,2,Duisburg
193,195,NA,1982,1992,10,1,1,1,NA
193,196,Vice President,1992,2009,17,1,,1,NA
193,197,Geschäftsführer,2009,2012,3,1,2,1,Traunreut
193,198,Chief Executive Officer,2011,2012,1,1,2,1,München
193,195,Beiratsmitglied,2011,2015,4,1,1,1,NA
193,199,Aufsichtsrat,2012,2016,4,1,1,1,NA
60,199,Unternehmenszugehörigkeit,,,,,,,
193,200,Beiratsmitglied,2002,2019,17,1,1,1,Homberg
193,201,Aufsichtsrat,2014,2021,7,1,1,1,NA
193,202,Aufsichtsrat,2022,2022,1,1,1,1,NA
193,5,Aufsichtsrat,2016,2025,9,2,1,1,Düsseldorf
165,232,Sozialökonomie,1984,1988,4,1,1,2,Oslo
165,234,Board Member,2020,2025,5,2,1,1,Andøy
165,235,Fafo,2019,2025,6,2,1,1,Oslo
242,243,Jura,1988,1999,11,1,1,2,Jena
242,243,Scientific Assistant ,1993,1999,5,1,1,1,Jena
242,9,Senior Vice President,2009,2013,5,1,1,1,Toulouse
242,9,Executive Vice President,2014,2022,9,1,1,1,München
242,2,Chief Human Resources Officer,2022,2025,3,2,2,1,München
165,236,Board Member,2017,2025,8,2,2,3,Oslo
165,237,Chairman of the Board,2009,2025,16,2,2,1,Oslo
165,238,Board Member,2006,2024,18,1,2,3,Oslo
165,239,Senior Adviser,1997,1998,1,1,1,1,Oslo
165,240,State Secretary,1993,1996,3,1,1,1,Oslo
165,241,Adviser,1988,1993,5,1,1,1,Oslo
244,3,Executive Vice President,2020,2025,5,2,2,1,Kongsberg
244,239,Senior Vice President,2017,2018,1,1,2,1,Oslo
245,3,Unternehmenszugehörigkeit,,,,,,,
244,245,Board Member,2022,2024,2,1,2,,
