id,Name,Geschlecht,Geburtsjahr/Gründungsjahr,Type,Nationality,Title,Umsatz 2023 [€]
130,Swiss Steel Group,,,1,SUI,,
131,INNIO Group,,,1,AUS,,
132,u-blox,,,1,SUI,,
133,Klaus Stahlmann,1,1960,6,D,Dip.-Ing.,
134,Technische Hochschule Darmstadt,,,4,D,,
135,Carl Schenck AG,,,1,D,,
136,Krupp Fördertechnik,,,1,D,,
137,Allweiler AG,,,1,D,,
138,MAN SE,,,,,,
139,Sulzer ,,,1,SUI,,
140,Kelvion Holding GmbH,,,1,D,,
141,Trillium Flow Technologies ,,,1,UK,,
142,Ullrich Grillo,1,1959,6,D,Dipl.-Kfm.,
143,Universität Münster,,,4,D,,
144,Bundesverband der Deutschen Industrie e.V. ,,,7,D,,
145,HDI Global SE,,,1,D,,
146,Commerzbank AG,,,1,D,,
147,J. P. Morgan,,,1,UK,,
148,E.ON,,,1,D,,
149,Rheinzink,,,1,D,,
150,Grillo-Werke AG,,,1,D,,
151,Klaus Draeger,1,1956,6,D,Dr. Ing.,
152,BMW Group,,,1,D,,
153,BMW AG,,,1,D,,
154,Eirik-Lie,1,1966,3,NOR,NA,
155,Lisa Edvardsen Haugan,f,1976,3,NOR,NA,
156,Universitetet i Sørøst-Norge,,,4,NOR,,
157,Martin Wien Fjell,1,1980,3,NOR,NA,
158,Saori Dubourg,f,1971,6,D,,
159,Umoe,,,2,NOR,,
160,Universität Trier,,,4,D,,
161,BASF ,,,1,D,,
162,Greiner AG,,,1,AUS,,
163,Council of the German Government,,,8,D,,
164,Andreas Georgi,1,1957,6,D,Prof. Dr.,
165,Even Aas,1,1961,3,NOR,M. Sc.,
166,Bremer Bank,,,1,D,,
167,Dresdner Bank AG,,,1,D,,
168,Bankhaus Reuschel & Co. ,,,1,D,,
169,Ludwig-Maximilians-Universität,,,4,D,,
170,Susanne Hannemann,2,1964,6,D,Prof. Dr.,
171,Ruhr-Universität Bochum,,,4,D,,
172,Berliner Bank,,,1,D,,
173,Wirtschaftsprüferkammer NRW,,,8,D,,
174,Louise Öfverström,2,1975,6,D,,
175,Albert-Ludwigs-Universität Freiburg,,,4,D,,
176,Lund University,,,4,SWE,,
177,Linde Gas Therapeutics,,,1,D,,
178,LagomWhite GmbH,,,1,D,,
179,MAN Financial International GmbH,,,1,D,,
180,Clariant,,,1,SUI,,
181,Thyssenkrupp Steel,,,1,D,,
182,Rolls Royce Power Systems AG,,,1,D,,
183,Kowry Energy,,,1,D,,
184,Nemetschek Group ,,,1,D,,
185,Marc Tüngler,1,1986,6,D,,
186,Universität zu Köln,,,4,D,,
